no,jp,en,slots,video,lv,note,scene,hint_1,hint_2,explain_meaning,explain_nuance,explain_grammar,similars
409,進捗をお知らせします。,I'll give you an update.,,2,1,状況報告を約束。,work,update を使う,give を使う,進捗を報告すると約束する,情報共有の意志を示す,give an update は「最新情報を伝える」,I'll keep you posted|I'll update you|I'll inform you
410,もう一度やってみます。,I'll try again.,,2,1,再挑戦。,daily,again を使う,try を使う,再度挑戦すると約束する,諦めない姿勢を示す,try again は「もう一度試す」,I'll retry|I'll give it another shot|I'll attempt again
411,今はその気分じゃない。,I'm not in the mood.,,2,2,気分が乗らない。,daily,mood を使う,not を使う,今はやる気がないことを伝える,感情的な拒否を示す表現,in the mood は「その気分」という慣用表現,I don't feel like it|Not feeling it|Not up for it
412,今は気分が良くなりました。,I'm feeling better now.,,2,2,回復を示す。,daily,better を使う,now を使う,体調や気分が改善したことを伝える,安心させる表現,feeling better は現在進行形で状態改善,I'm doing better|I've recovered|Feeling good now
413,少し圧倒されています。,I'm a bit overwhelmed.,,2,2,手に負えない感覚。,work,overwhelmed を使う,a bit を使う,多すぎて対応しきれないことを伝える,ストレス状態を示す,overwhelmed は「圧倒された」という形容詞,Too much to handle|Feeling swamped|It's a lot
414,疲れてきました。,I'm getting tired.,,2,2,疲労の蓄積。,daily,tired を使う,getting を使う,徐々に疲れてきていることを伝える,現在進行形で変化を示す,get tired は「疲れる」という状態変化,I'm becoming tired|Feeling tired|Getting exhausted
415,やる気が出ています。,I'm feeling motivated.,,2,2,意欲的な状態。,work,motivated を使う,feeling を使う,モチベーションが高いことを伝える,前向きな心理状態を示す,motivated は「やる気のある」という形容詞,I'm pumped|I'm energized|Feeling driven
416,かなりのプレッシャーを感じています。,I'm under a lot of pressure.,,2,2,重圧を感じる。,work,pressure を使う,under を使う,大きなプレッシャーを感じていることを伝える,ストレス状況を説明,under pressure は「プレッシャー下にある」,Feeling pressured|Under stress|Lot of stress
417,行き詰まっています。,I'm feeling stuck.,,2,2,停滞感。,work,stuck を使う,feeling を使う,前に進めない感覚を伝える,困難な状況を示す,stuck は「行き詰まった」という形容詞,I'm at a standstill|Can't move forward|Hitting a wall
418,それにワクワクしています。,I'm excited about it.,,2,2,期待感。,daily,excited を使う,about it を使う,楽しみにしていることを伝える,ポジティブな期待を示す,excited about は「〜に興奮している」,I'm looking forward to it|I'm pumped|Can't wait
419,それについて緊張しています。,I'm nervous about it.,,2,2,不安感。,daily,nervous を使う,about it を使う,不安や緊張を感じていることを伝える,心配な気持ちを示す,nervous about は「〜について不安な」,I'm anxious|I'm worried|Feeling uneasy
420,ホッとしています。,I'm relieved.,,2,2,安堵感。,daily,relieved を使う,I'm を使う,心配事が解消されて安心したことを伝える,緊張からの解放を示す,relieved は「ほっとした」という形容詞,I feel better|That's a relief|Glad that's over
