no,jp,en,video,lv,note,scene,hint_1,hint_2,explain_meaning,explain_nuance,explain_grammar,similars
75,間違いありません。,That's right.,1,1,「その通り」の確信強め。,daily,right を使う,That's を使う,完全に正しいことを強く肯定する,確信を持って同意する時,right は「正しい」という形容詞,Exactly|That's correct|Absolutely
76,ちょっと考えさせて。,Let me think.,1,1,即答せず考える時間を作る。,daily,Let me を使う,think を使う,考える時間が欲しいと伝える,即答を避けて思考時間を確保,Let me + 動詞の原形で「させて」,Give me a moment|Let me consider|Hold on
77,もう一度確認します。,Let me make sure.,1,1,勘違い防止の確認。,work,make sure を使う,Let me を使う,念のため再確認すると伝える,慎重さを示す丁寧な表現,make sure は「確認する」という慣用表現,I'll double-check|Let me verify|Let me confirm
78,その通りです。,Exactly.,1,1,強い同意・一致。,daily,1語だけ,完全一致を示す単語,完全に同意・一致していることを示す,シンプルで強い肯定の返答,Exactly は副詞で強調,Precisely|That's right|Absolutely
79,たぶんそうです。,Probably.,1,1,確信は低いが肯定。,daily,1語だけ,可能性を示す単語,おそらくそうだと控えめに肯定する,確信はないが可能性が高い時,Probably は副詞で「おそらく」,Maybe|Perhaps|Likely
80,それは違うと思います。,I don't think so.,1,1,やんわり否定する。,daily,don't think を使う,so を使う,やんわりと否定的な意見を述べる,直接的な否定より柔らかい表現,I don't think so は婉曲的否定,I disagree|Not really|I'm not sure about that
81,わかりません。,I have no idea.,1,1,全く分からない時。,daily,no idea を使う,have を使う,全く見当がつかないことを伝える,I don't know より強い「わからなさ」,have no idea は「全く分からない」という慣用表現,I don't know|No clue|Not sure
82,正直に言うと…,To be honest...,1,1,本音を切り出す前置き。,daily,honest を使う,To be を使う,率直な意見を言う前の前置き,本音や批判的な内容の前に使う,To be honest は「正直に言うと」という慣用表現,Honestly|Frankly|To tell the truth
83,つまり…,In other words...,1,1,言い換えて説明する。,work,other words を使う,In を使う,別の言い方で説明し直す時の前置き,難しい内容を簡単に言い換える時,In other words は「言い換えると」という慣用表現,That is to say|Meaning|So basically
84,例えば…,For example...,1,1,例を出して補足する。,work,example を使う,For を使う,具体例を挙げる時の前置き,説明を分かりやすくする定番表現,For example は「例えば」という慣用表現,Like|Such as|For instance
85,それってどういう意味？,What do you mean?,1,1,相手の意図を確認する。,daily,mean を使う,What を使う,相手の発言の意味や意図を確認する,理解できない時の自然な聞き返し,What do you mean? は意味確認の定番,What does that mean?|I don't understand|Can you explain?
86,本当？,Really?,1,1,驚きや確認のリアクション。,daily,1語だけ,驚きを示す単語,驚きや疑問を表す万能リアクション,疑問と驚きの両方を表現できる,Really? は上昇イントネーションで疑問,Seriously?|Are you sure?|No way
87,冗談でしょ？,You're kidding.,1,1,驚き・ツッコミで使う。,daily,kidding を使う,You're を使う,冗談だと思いたいほどの驚き,信じられない出来事へのリアクション,You're kidding は「冗談でしょ」という慣用表現,Are you serious?|No way|You must be joking
88,任せて。,Leave it to me.,1,1,自分がやると引き受ける。,work,Leave を使う,to me を使う,自分に任せてと引き受ける表現,自信を持って引き受ける時,Leave it to me は「私に任せて」という慣用表現,I'll handle it|I've got this|Count on me
89,大丈夫です。,I'm good.,1,1,「大丈夫/足りてる」など幅広い。,daily,good を使う,I'm を使う,大丈夫・問題ない・足りているなど多用途,状況によって意味が変わる便利な表現,I'm good は状況依存の多義表現,I'm fine|I'm okay|No thanks
90,それで問題ないです。,That works for me.,1,1,提案に同意する時。,daily,works を使う,for me を使う,提案や計画に同意することを伝える,柔軟に受け入れる意思を示す,work for someone は「都合が良い」という意味,That's fine|Sounds good|That's okay
